Zipcode,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4
98105,1855.4567655796484,1931.1443722162992,1962.0255620579428,1909.1269849438534,1923.0658643762345,1982.204503153079,2007.859793082803,1969.1796992153722,1988.221903879483,2010.8170956788845,1987.1445144537308,1876.026827113585,1851.2140337747085,1950.9823898526595,2093.646120434552,2125.9786275787087,2161.8599844118835,2246.2657310492373,2293.32285215359,2276.5212564944454
98115,1768.4094342696874,1810.0080533820735,1830.6278520421063,1807.4168220135405,1802.4234567040821,1854.2245648958296,1881.1063500867476,1875.036652467834,1898.9484285383667,1904.3454943652096,1909.7278916816128,1828.1183601869,1792.9592552456609,1861.8770119304588,2007.7023964463576,2046.2997528848302,2057.79786150039,2135.3225086677917,2192.4930702171873,2180.1952723315685
98103,1770.1658151671581,1792.3491056302591,1820.7341945771689,1789.2063061464899,1793.185150408047,1825.7179555355608,1864.7353566047025,1857.1601377797522,1887.4198683497686,1888.4265402467215,1885.3808804314156,1806.8130932798965,1762.255014823492,1851.7259586240007,1944.2031257241479,1953.6127834225397,1990.8174994013725,2065.3205243763223,2121.080646494956,2073.446858676805
98133,1429.6064040706742,1444.0295583661955,1476.3379274715637,1457.9673212219113,1457.826854191311,1498.782832293943,1509.931682685575,1524.8214047709268,1537.46038202991,1557.5031904409886,1557.5779562476507,1541.975615444416,1520.6638681963839,1527.6856916230124,1637.5899776519952,1649.6933258022061,1686.3103430189192,1748.9564446602265,1824.5854109009363,1796.4728731210782
98118,1398.541862226497,1421.7159354884363,1432.6690576348901,1433.4588389539658,1428.7950336192027,1488.3272565373045,1508.1406835251637,1504.201097892824,1506.4451813680673,1538.6335531430332,1541.9128162742147,1435.5367007121495,1420.5893625023325,1489.0318782466675,1609.1853332061926,1633.498159329659,1638.501073736832,1701.164662156286,1726.1004381629298,1742.6981997601852
98125,1535.4669523496116,1560.3524377327558,1588.9191652323937,1558.9857489920907,1570.263986501861,1580.2046763851633,1619.149553089972,1605.3172857342297,1617.8996808049312,1652.7993816628739,1655.0936744533856,1609.7968287889014,1569.9270085462638,1607.2131365612022,1734.485009989191,1767.69536170367,1797.2150615045382,1907.705407561479,1927.827562583231,1897.6633807630035
98122,1786.840390370826,1831.6370177543274,1854.1803490747723,1810.4987464134501,1840.079384170973,1859.305048751358,1909.594381840384,1898.9385253393818,1916.011883410106,1919.3301310654163,1870.3589637999887,1690.0682637422663,1628.107029402361,1750.5327497938072,1941.0963208286864,1958.901355047611,1965.2082204916612,2028.0240885363894,2090.526076397668,2019.5410228986032
98117,1686.7572506514864,1735.5685516109768,1743.2257886554974,1724.8233917361742,1711.1485424829564,1769.306009045377,1793.8607728126,1779.7298878035956,1816.595444558525,1808.7478317622308,1840.144983163628,1785.7531203810122,1774.9692354614137,1821.0524805661635,1917.8522931810985,1954.2178823394163,2014.3989751030392,2076.303211750897,2116.137213127966,2071.5171005260386
98155,,,,,,,,,1769.244996242926,1758.3187635275578,1806.7439290305858,1784.7497473718915,1780.3649810566549,1835.9431473411935,1879.780288886189,1928.4155166098906,1991.7033707309367,2058.669708513606,2104.4711835753274,2074.759832277123
98198,,,,,1542.0452544202878,1507.5642361204227,1528.9856299418877,1516.6339135733851,1531.7318763499197,1581.2732012539898,1619.1928277693896,1580.3390672791454,1631.3279878017536,1641.8381751519519,1699.355931859136,1729.6045222412922,1794.4219678041875,1875.1972467398475,1920.2211095538898,1933.5697993163085
98168,,,,,,,,,,,,,,,1638.95322636448,1693.9703752789403,1706.365179345548,1785.8524547546713,1842.2739576863553,1853.0305498155751
98109,2042.6989001600832,2093.932790033965,2117.1968086020606,2078.8629239442976,2089.2585405648056,2160.0512349061632,2217.0484132224333,2201.017012704942,2238.295768465054,2222.382753163427,2136.180139874893,1945.9587004297127,1868.5167941583125,2058.465839156093,2294.221657138429,2272.201502285636,2256.5849939072614,2317.411280775708,2418.820878041733,2333.42219197371
98146,,,,,,,,,,,,,,,,,,1650.7706326430825,1858.8687950051212,1794.4988928737293
98144,1617.8591789376703,1672.7161543298355,1680.5158535168187,1682.1717784672726,1693.5067213677632,1712.0826348132932,1732.728919977637,1744.9020288078107,1789.8021958035315,1820.3054721566612,1825.7665133347239,1738.572656279354,1667.2287918119225,1771.9701184153937,1887.3443443103142,1917.132300002697,1951.5897405298444,2003.5059365712048,2047.0573548791251,2007.0406646215527
98188,,,,,,,,,,,,,1500.7818549961414,1549.9889490171784,1687.4741700404568,1728.563791226262,1763.324301428079,1808.4261410200907,1817.6151729633373,1795.2778608617034
98107,1833.6333922777721,1869.1518321689161,1892.9393860303664,1888.203685506267,1869.12547692863,1935.5730943471165,1947.8871184345699,1920.3885346098057,1971.975835228567,2000.3650881537485,1970.4688570744074,1822.5060774198548,1784.8500696270087,1868.7163168545667,2042.8800983374283,2058.5752203764478,2087.5925715288445,2158.3008073908604,2217.521181961333,2169.667558864927
98106,1823.4025238299243,1874.8212981201289,1871.9351757607867,1889.6344607713756,1938.509429069245,1957.3959007426383,1974.488902530633,1953.2614645663089,2030.6809493220362,2034.621309563894,1959.4393126297698,1848.5036211044674,1900.583116067922,2006.9335194101222,2116.0914323920983,2126.8465607681305,2122.3405185832144,2223.7076905772524,2339.656030975881,2376.864843365284
98178,,,,,,,,,,,,,,,,,1979.2696733525488,2023.0940245900656,2128.8230769991865,2178.7260859171133
98116,1711.7522519180984,1763.46949737885,1782.2197416567033,1765.4817056872346,1772.0902650987898,1795.0914801516676,1821.5529291232062,1842.36845642931,1876.1022894432951,1865.542986143507,1761.860644551083,1705.9743414208242,1667.2225049007245,1730.4973492109905,1839.0652545560886,1899.6319441607093,1903.0581088487231,1959.9926470902267,2060.253653045935,2064.4262636502076
98108,,,,,,,,,,,,,,,,2133.1848413491557,2168.207676822621,2204.326286009187,2128.2354501040263,2167.3000026101904
98112,,,,,2032.0792480090606,2091.9968360084345,2103.437688243263,2056.5599284482964,2124.0969649914273,2146.3855358323676,2137.1561612378623,2018.7712699192662,1955.6160410820287,2079.9369750690344,2197.2981655551,2274.700528934315,2306.2495081509205,2287.137845796577,2370.1880250216054,2359.1041336043168
98119,1709.9992012289788,1777.5666735212942,1779.8019367243803,1760.737772565196,1771.9722353359218,1837.1096294116523,1851.2687030179475,1831.1221389001205,1851.638541959676,1868.8188553360324,1816.5231449555804,1710.486463268241,1660.434716089314,1749.6145311719029,1880.5809613006916,1948.1314956830338,1945.8630978975154,2009.1615757517102,2051.4904018340453,1983.2652155394635
98126,1598.068861919899,1584.870402527535,1633.706096905203,1672.4356321652087,1684.4690606530385,1683.1313147766948,1731.532033747916,1708.955936058229,1746.980550805013,1746.2002463040474,1663.0841868836299,1591.731564156176,1613.380374758927,1662.9251128576852,1706.2458067292648,1765.65570190004,1772.483563779356,1853.9942204946758,1949.1632041463563,1983.3476110801612
98199,1912.9872986670368,1975.6520330061078,1970.0513006141064,1994.4346229694602,2013.5923783925628,2035.7137355627717,2079.64413755596,2082.134921637107,2107.2810828607003,2131.8414274891957,2143.4349712708513,2113.706406808046,2095.3298370213456,2159.2225555211335,2251.2769816055497,2274.861231184022,2324.0265912844675,2420.6482542742783,2508.391241830964,2432.4591947609288
98102,1751.9817797060014,1775.2909156899757,1807.736734983527,1767.8926154982285,1784.1897240439273,1829.501493360019,1858.9998161509604,1836.4398940392723,1852.8042694438216,1842.8416880523407,1830.3476263345458,1672.026226754778,1637.987051451415,1685.9099357177593,1829.3202802154321,1866.2870162186707,1870.109811892169,1950.2624823633907,1997.3798341044755,1960.5861674983923
98166,,,,,,,,,,,,,,,,,1668.5051941268268,1777.6333401861627,1856.0590018201926,1837.3569997876314
98121,2315.4132207484117,2394.379853309391,2382.859557473898,2353.5963750644282,2385.768476359626,2439.8166690542944,2473.950146460319,2471.203365164604,2519.3139949080974,2494.4973421351747,2330.873949883404,2103.241860261965,2108.5541231491875,2289.062927258278,2553.59652405156,2476.372162423228,2439.2797825803677,2515.9965185992905,2608.263467212298,2490.8399930519313
98136,,,,1848.5262061696285,1830.865719189942,1876.7020812268267,1942.8791682418323,1905.148472061106,1934.1280645854015,1931.1053559684412,1950.9442745152712,1899.38973862758,1897.0006837609626,1937.5565939944045,2014.673711526709,2064.7382168594954,2063.098761590121,2183.8622093994845,2283.3993560615254,2240.9898353920476
98101,2184.3375164454314,2277.021958555741,2342.4752328611676,2260.777931383572,2268.619762438581,2357.052246608995,2421.2882189880997,2397.31775624965,2447.8890823094066,2474.433163713071,2327.3730637189365,2108.235727540831,2084.4175421716927,2255.9871860845083,2470.6468256374133,2480.873539431004,2416.2316601020743,2474.440057959712,2571.8776036504605,2496.398745830416
98104,,,,,1830.758455509296,1858.3675034818345,1920.9608427729697,1921.860519674635,1930.9087397718965,1909.782214503732,1801.9025192493737,1626.08857781644,1546.0513755734776,1701.5343099620234,1885.939104776211,1898.7264162378287,1876.9379733711646,1910.1707250037598,2007.4211917389691,1941.7607763654996
