,RegionName,City,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29
0,98105,Seattle,,,,,,,,,,,,1661.18904750711,1651.3683476083718,1649.8575317065245,1669.280707598569,1669.0179958021342,1697.462828626204,1716.8282046523525,1776.5634334347988,1779.0213664556522,1781.602474255521,1724.8585472901166,1721.3646536929984,1747.5884370897786,1795.5968287503094,1805.7592666306712,1808.325102712884,1817.9316130670657,1860.5351807146344,1873.4739069449347,1902.286097060736,1886.0232036495493,1880.032838943072,1868.660347064597,1879.170158797297,1870.9926160398063,1852.3857127821368,1848.739328422892,1865.245255533917,1908.863772362704,1927.9914632507864,1956.5778810354072,1956.049413467471,1965.1742006451373,1964.8530720612207,1935.2242611236056,1913.931836107521,1878.2248576004336,1888.5182572507435,1914.153908304512,1966.525427573448,1981.260520508998,1977.063539412157,1988.2894495380824,2006.8649004121128,2015.016580756548,2001.6978980797487,1987.3914162530543,1961.1331444978264,1959.014536895236,1965.330674182619,1992.491986415516,2006.8430510403143,2014.3904585580185,2013.234766653313,2004.8260618253216,2003.903112266137,1998.5048958363657,1959.02553525869,1906.504464075428,1887.9216363260227,1833.654380939304,1829.2849500139776,1831.819752868539,1892.5373984416087,1922.694268920245,1941.573380507358,1988.6795201303755,2047.9324856108503,2095.640518485575,2137.36535720723,2147.8249281706,2118.6959603958526,2111.414994169674,2122.864693764351,2176.408695304766,2186.306564166533,2210.900078284941,2242.161896975264,2285.7352178875067,2301.486198642781,2300.385486868767,2278.096870949221,2279.789000547002,2269.201089706777,2280.573679229557,2248.5167298926185,2238.008268488404,2237.0816956779736,2261.039270504781,2286.4360794872923,2315.7058346266635,2340.219274873476,2356.8036482138514,2350.6843128305186,2328.200090318672,2298.41564933626,2304.796451829048,2319.6780135896515,2328.4727680545907
1,98115,Seattle,,1510.0252313263925,1525.516126497226,1528.99405801943,1553.5900603931866,1567.5515578206994,1574.868723115677,1569.7627789911344,1592.6474367205583,1615.3587327197847,1601.8283923110278,1566.2528777095745,1556.3809714604774,1578.3227987366638,1587.4813279465843,1593.0514336792885,1614.6887797096515,1671.63264279686,1698.8837386983992,1719.6488328854562,1732.7405720867469,1740.3439322955246,1708.3450312325303,1669.69598127914,1662.1262681538474,1710.009494441077,1743.3859584768222,1763.8404124746207,1764.2082998180672,1774.653201785007,1773.910434677299,1791.801587652128,1811.3986254148963,1808.39859926944,1771.8783890400912,1747.3169132842677,1757.9692162476097,1767.3114664366412,1779.9476201248112,1788.3313757877304,1817.381904215624,1824.3108801428664,1830.0825280202216,1829.7711192183165,1832.0299088877805,1817.6826511112668,1812.2701056561195,1792.297709273235,1804.001219817333,1787.6255315426615,1815.643618752252,1835.68212317123,1863.7716119831607,1863.219959533098,1869.2177455978383,1881.998433450552,1892.1028712118523,1875.4878068972523,1870.6769689994344,1878.9451815068155,1902.7459453543208,1902.9923146042424,1891.1070256565365,1891.86267372541,1903.076746901926,1918.0970624682927,1922.783098467641,1917.2900476114307,1889.1105289657671,1859.845429489032,1822.815119406307,1801.694531665361,1783.2234664865848,1792.3123215680812,1803.3419776823173,1833.219941115188,1849.4395736330853,1902.971521043103,1947.389348069071,2022.886338735116,2052.831502534885,2055.989973110908,2047.3313971073344,2035.5778884362485,2044.845596216744,2050.2894199289726,2078.258568355453,2107.917787668033,2143.393295921033,2154.6564424143085,2185.7245438849263,2183.7440040813685,2208.0106626852667,2196.04440396114,2180.164355856144,2164.377057177422,2156.4611645296472,2159.9757395938377,2152.102962194412,2162.122524000605,2181.871488186988,2199.526986603265,2218.435754571911,2224.0140977621368,2233.063027645442,2216.9828786624507,2211.136955942699,2190.8679837920363,2193.711036340052,2204.7606944444447
2,98103,Seattle,1458.092888482229,1462.702360747992,1475.065809914798,1487.2735200649408,1500.9352270150446,1530.8422259145718,1556.4518382542876,1582.6143323655156,1584.9872172215885,1571.8111408887198,1573.7516850854558,1578.7935615265865,1615.1334941832586,1609.987310743933,1633.0419406481344,1629.0802632962923,1667.5667838062122,1688.2270165867626,1709.5171709063045,1707.2504979531077,1693.2556606529004,1679.5975011683722,1653.491619609587,1630.111446792527,1637.8523984292274,1658.4895194534504,1697.9748140416957,1726.2345734619828,1751.537144508437,1762.5354806115824,1766.9779636851222,1762.8352750356712,1760.4533582055155,1753.5209812579155,1756.6686216749397,1746.7839794004176,1756.5431383830578,1764.7101100457446,1789.2441970726725,1786.1189288472574,1791.794668885712,1799.133719157808,1816.4943052861247,1821.3118010667013,1824.3964773786804,1804.4343160248472,1790.4768821829605,1772.707720231662,1783.018460542143,1794.4525183498868,1802.084472332112,1812.928410518305,1823.2198188268285,1841.005637261549,1855.0608781680507,1871.4117690304224,1867.7334226156345,1861.233831329948,1849.363027294404,1860.883554714904,1874.3401187530555,1890.188461299572,1897.7310249966783,1890.579978445978,1887.0566401731685,1887.643002121018,1897.848349965152,1892.6694986026976,1865.624792726397,1832.7069294556493,1803.5322076884063,1784.2001426956333,1766.9777090479222,1755.4599884686145,1764.3273469539397,1799.3944545280683,1856.3804261358107,1899.4029952081232,1930.2720301803429,1941.599440091342,1960.7379069007584,1961.2467925002416,1949.7324935808424,1949.8590641865344,1963.4174378936225,1992.351430451472,2016.683629859023,2039.272787904597,2063.6041442025626,2093.084641021808,2114.0037629113654,2129.723991617743,2119.514184955759,2099.4876933160103,2067.9166068567115,2052.936275857692,2051.8782642933647,2060.199644561976,2073.6829061209905,2090.394768350037,2124.1983024083943,2139.808210744723,2163.042594373701,2163.1855722730133,2159.9099769459795,2133.5518530324057,2116.569993125728,2109.871053550775,2109.282055129966,2125.706081429862
3,98133,Shoreline,,,,,,,,,,,,,,1277.6427414722364,1256.1464777804465,1276.3829489213292,1290.2650403068194,1306.8104652361228,1322.326326902773,1343.9992181912676,1342.5942552346062,1308.3793980210146,1303.1044484561407,1307.522188104491,1364.583274798245,1363.1692837793191,1383.8536921737889,1374.8013631008434,1402.695528043438,1418.913092688702,1434.0963285336263,1428.1928836402285,1431.654902553165,1426.4503855725584,1425.8357908528562,1424.6980558819698,1427.3229715582927,1434.3782027398945,1427.1180379138357,1435.2531160088606,1441.0604018092183,1455.775157280507,1473.2168406988392,1476.3601807072907,1479.436761008562,1467.5518505275654,1457.0213232454687,1449.3287898927003,1455.7342235006038,1454.3345977224888,1463.41174135084,1480.5894340185985,1507.368315748006,1508.390747115225,1499.4805448427742,1502.8779549018038,1527.436548312147,1533.9186210611626,1520.548934515759,1519.9966587358583,1519.0010000782188,1544.4595498081196,1548.920596203392,1557.6234762097097,1558.0361025427592,1556.8499925704973,1566.1266641859947,1556.637801554216,1549.9694030027415,1544.583465065387,1539.1836262323552,1542.159755035506,1530.1764364208148,1527.7464484781804,1504.0687196901558,1502.7366502468951,1523.6208371215798,1556.6995875005623,1615.0076989705517,1636.6788578896392,1661.0833760957944,1643.1918831388866,1645.986102480702,1659.9019917870296,1668.0184192988104,1688.8025918725273,1702.1100178854197,1722.315973561006,1748.5830536773522,1775.9703067423216,1814.118317923151,1833.02594459938,1826.611970180278,1814.245034666158,1793.0801318023182,1782.093452894759,1778.8868437793758,1799.4521379063217,1819.2132096592209,1827.171698274986,1800.3551171074453,1812.633434946447,1825.1231484308405,1846.613224986884,1837.0389178200828,1818.7144000651829,1817.0303560972632,1807.5326132796724,1821.4297590708543,1843.687628941939
4,98118,Seattle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1398.541862226497,1427.2206849364875,1426.7461584021012,1411.180963126721,1417.7034194309465,1432.3059030857344,1447.997850387989,1449.8248815870102,1422.1859358305712,1428.3656994443156,1414.919203530411,1442.4466766844105,1429.019220642787,1469.751640927204,1487.5104739820515,1507.719654702658,1499.8230072453423,1502.3935652229454,1522.2054781072031,1510.1766472303188,1505.0566228899463,1497.370023558207,1506.7155554699475,1514.9116222465952,1497.70836638766,1525.9412983412972,1529.0447500324924,1560.9146110553097,1553.6413204216694,1551.559041614772,1520.538086786203,1461.759288917316,1433.9733357245718,1410.8774774945605,1416.072275144766,1416.0383912699788,1429.6574210922522,1462.2091986057646,1485.933306998336,1518.9531291359017,1568.1616353868233,1615.7540443685862,1643.640319863168,1654.6352302430523,1621.7815121279746,1624.0777356179508,1615.7022320565434,1638.418302008986,1661.3826871449664,1679.5849486361933,1707.9248991731038,1715.9841386595615,1720.255180868227,1725.3159297000589,1732.730203920503,1741.8283014318106,1738.8034304486623,1747.4628674000828,1754.6650615265528,1765.2933198229084,1756.4093748834052,1738.5155491211112,1738.9345601369034,1745.086948367109,1748.4602163942648,1746.7120155926616,1750.4723355418068,1746.9406181174718,1737.354734856247,1760.572858630328,1769.899750401304,1783.338109354414
5,98125,Seattle,,,,,,,,,,,,,,,,,1459.5413928741634,1463.659150591338,1445.7286936902335,1434.233611879355,1455.040224950835,1450.4631883395368,1444.6354557470142,1431.7126478053317,1462.3377874479336,1471.0026730255822,1474.2927251162505,1465.813294923406,1474.2698391940885,1514.8675887480233,1530.234379871546,1543.2271776620237,1529.8608209260733,1520.5373657196071,1499.9147463569666,1507.9858284217564,1530.3514287211644,1533.2476501249707,1542.8017782026998,1539.2145315517569,1568.5097964686067,1573.3329851779035,1584.445071857627,1592.356557099585,1589.9558667399692,1564.654107452359,1550.810665977451,1561.4924735464624,1570.2564614110058,1577.6777126980833,1562.857785396494,1568.6716448006616,1573.926553458154,1598.0158308966743,1613.359275842913,1624.345716940874,1619.7436664861286,1611.370566508193,1599.8016494435728,1604.779641250923,1608.2252400977752,1613.8561512422652,1631.617651074753,1642.6498614675966,1660.9893285228725,1654.7589549981528,1661.9556345475382,1656.0395712436775,1647.2858175689412,1646.153313228442,1606.205961680177,1577.0312114580852,1559.3810501168662,1568.367001747991,1582.0329737739337,1573.6471334846494,1605.6342610617814,1642.3580151371752,1700.0383860722477,1742.1465153994675,1761.2701284958578,1763.3269193359067,1771.945598322118,1767.8135674529858,1778.2074196685196,1784.519049820149,1828.9187150249456,1877.349290315527,1911.6338912999568,1934.1330410689536,1927.1369041122937,1922.58556811017,1933.760215527229,1927.093285121308,1903.3990966914228,1862.4977604762803,1853.685780633378,1867.6168764234365,1892.638983082488,1905.1281020645504,1937.087540149893,1942.0224414099064,1957.5865846257125,1954.0974755273048,1987.4949108224887,1991.13527780287,1963.3903326546367,1938.2686521452133,1933.4997655553373,1958.713506794361
6,98122,Seattle,,,,,,,,,,,,1567.3380362030937,1575.3357095788365,1624.023235648053,1644.676491081555,1646.743669689013,1673.8709289665858,1683.570757135384,1698.2816298609107,1657.4592501100387,1662.7856575864737,1654.9171569130374,1653.9571917226558,1673.1554242168634,1687.1809871411328,1716.5604126291908,1741.7503247083496,1771.8644465348482,1790.4073654448327,1799.8716736944498,1809.8378383029687,1828.921994274232,1820.681835641449,1817.4281830241173,1798.086671920964,1784.4009171011264,1773.8138120456483,1785.300933532068,1801.4064255347623,1816.9915740461768,1825.8244571603711,1852.0950220564337,1856.4825414585343,1861.6244263371843,1844.4340794285984,1819.8313902444445,1810.4320506168303,1801.2327983790751,1822.842922042892,1841.293514008123,1856.1017164619043,1851.370713887744,1854.547711948863,1871.9967204174668,1897.7126441987707,1911.2963023173893,1919.774199004992,1905.1659180234049,1903.655786058024,1887.9938719367167,1903.8603083689484,1912.0428514259715,1932.1324904353985,1926.1235440967564,1919.9527871620949,1911.9140619373973,1904.7210551726607,1879.30794306654,1827.0478931607656,1756.9567628444722,1686.427707808461,1626.8203205738655,1610.974983751902,1621.669850950296,1651.6762535048847,1686.724210659571,1742.9063516109154,1821.967687110935,1898.7191250276053,1950.063787562469,1974.5060498959847,1965.6642919424096,1956.0216762195475,1955.018096980876,1956.0511993069629,1965.406299195584,1974.1671629724367,1998.8885735277936,2026.822787752876,2058.3609043284987,2085.774496657839,2099.7205689503703,2086.083163584796,2055.930499653423,2013.6083006139424,1989.084268428444,1986.9236029477977,2000.59552811718,2013.7812761112373,2019.959476274349,2028.082751192837,2041.9826677027847,2054.447482708301,2063.676179914622,2067.088061060846,2054.904295506929,2039.9667250008752,2014.932682372112,2020.3756079470493,2028.117279428391
7,98117,Seattle,,,,,,,,,,,,,,,,,1541.7708463969116,1587.5236309714817,1616.91750812326,1605.5946929122806,1586.7901557304017,1584.391629222922,1570.114688614472,1561.6740519283317,1570.5087343514388,1598.8273857203094,1657.4094393504167,1691.6206860018751,1717.590551179892,1711.4726484604105,1718.1005255770629,1714.313775132406,1698.9355408269223,1669.565565379046,1642.6144677267607,1661.87794412587,1683.6207377287972,1684.873889236012,1691.7771249896502,1717.5275337845935,1752.070326986104,1737.1077940622326,1728.0248800201746,1741.891467856819,1759.7610180894987,1747.5465487751774,1725.7648032880627,1701.158823145283,1695.407666131321,1704.6584096235715,1733.379551693977,1749.1841940632962,1765.2511270501443,1793.4827060226903,1824.959348972613,1803.433355877374,1753.1896135878137,1738.0339285764635,1776.398238317504,1824.75749651682,1836.043658581678,1811.6321867984204,1802.110488295477,1796.6392237878028,1808.246328902996,1821.3579425958933,1837.756237360932,1857.302873499321,1825.3758386306304,1814.6649064627304,1768.1885423158842,1774.4059123644215,1759.206197910897,1775.7707491139806,1789.9307593593635,1796.3790590682718,1821.5372791158345,1845.241103514384,1886.126773053317,1924.2588571303888,1943.17124935959,1946.1876391884568,1932.6374929466324,1983.8285148831603,2002.0840666544889,2040.0370677654528,2001.075790889176,2045.0163215512544,2075.156861873832,2108.736451827604,2110.3277366250613,2118.20767077284,2119.876231985996,2117.46500370188,2061.0301935705857,2036.056104305651,2021.672539911728,2058.447022521564,2063.9984325087207,2093.7603953462435,2111.0602920038177,2124.573363349817,2133.1566814193225,2134.609451469346,2160.443746382318,2139.113660230764,2164.6036109120773,2179.853561367328,2182.9085745313632,2152.2396825396822
8,98155,Shoreline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1775.2921732313528,1763.197819254499,1765.9912176931264,1737.5095948418134,1771.4554780477335,1784.7407191969016,1821.0524868526952,1814.438581042161,1804.6404277243669,1786.075423763284,1763.5333906280237,1756.602700323925,1777.6577386055756,1806.8345042404644,1829.656236180164,1830.859823311212,1847.313382532205,1868.04167698945,1887.093243136203,1884.205946532914,1905.5850966371504,1922.75609236593,1956.9053608265908,1974.678565823872,1980.9649005252577,2019.466645843681,2032.6306321768009,2072.1265112424853,2071.2519821215324,2091.778004305212,2102.807383170712,2118.828163250057,2096.8676371044403,2074.694074394652,2052.7177853322773,2065.1956551711064,2050.0618537178266,2058.8962345203854,2058.620260965177,2120.9210277659336,2150.699563533131,2179.3101615586847,2180.367673469897,2174.761381477936,2140.4921725585828,2124.185061037965,2113.7049949314974,2143.416903330461,2164.419191919192
9,98198,Des Moines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1576.584700032995,1535.801442433763,1513.7496207941049,1499.0660296631625,1504.539838313356,1519.08684038475,1521.611416331954,1532.5656410915128,1532.779832402196,1518.763077205915,1526.5215160478383,1504.6171474664025,,1512.9821999847438,1550.4815527150954,1580.5632764521856,1579.1205210600683,1584.1358062497154,1623.2915591752292,1622.4121709899453,1611.8747531429945,1573.6836598337743,1572.4767506715648,1594.8567913320974,1629.162705915781,1638.3826245254877,1626.4386329639922,1620.243646229111,1641.8832981792273,1663.3875810475172,1676.7004411277417,1716.129730969984,1705.2376234796825,1719.3157927022496,1709.9239236031733,1759.573850418454,1776.160086972217,1794.6621361344744,1812.4436803058709,1855.3167479667648,1877.939351487343,1892.3356407654355,1891.2389359553447,1916.8106432494253,1952.6137494568995,1962.7364685153989,1931.7829860331733,1906.1899434003528,1864.566498465188,1881.9160128934247,1910.5484877593,1945.0385067282527,1977.568631264024,1951.595814403168,1953.5873581955104,1933.8518103949484,1969.590121203896,1971.858228667652,1977.2354476510025,1985.021245801274,1993.5540957856472,2004.5583333333327
10,98168,Seatac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1638.95322636448,1665.87616158999,1717.3777475154757,1698.6572167313552,1685.078385172804,1701.5856742483866,1732.4314786154532,1764.2262480342065,1773.7208466103205,1819.6102696194869,1818.2347869334887,1858.0017849379683,1850.5853011876093,1854.3492385597733,1855.2197312314472,1849.5226796555053,1871.813863193896,1887.4649360098,1900.73178033364,1896.8284878065024,1939.841447700309,1960.046945646191,1978.2119856126856,1936.5923988833813,1949.9969718201307,1999.9103099832853,2017.5129264877444,2027.612684028545,1998.5096360938635,1994.6666666666667
11,98109,Seattle,1723.1907498784149,1735.4165162451595,1755.1158960212538,1783.5080863279743,1802.163697955899,1851.594607485493,1886.3615271826377,1908.6617814315464,1890.610804424579,1874.2068425044952,1858.21694862992,1862.7441357217044,1887.6367097168843,1889.713531562324,1898.2191527543243,1917.838867939348,1968.9192969231644,1999.5206946025628,1994.9759121043976,1963.986736562145,1952.737519931583,1956.558895448957,1905.950730473358,1906.9728010213817,1943.4075089705163,2041.1972999838688,2090.9252985584862,2099.52449271434,2114.834755504187,2127.885990324497,2146.148541263016,2151.6486065306194,2156.857033367775,2142.346053996314,2093.5065919723984,2050.3603733236105,2027.7191886124228,2047.6653660668708,2052.7121458009565,2070.1273075731337,2089.9454515847847,2121.725610943976,2123.8211973427624,2123.4790591577994,2104.29016930562,2094.175221927154,2072.874645794214,2069.5389041115254,2070.9579357612256,2095.1865392183417,2101.63114671485,2137.0442403939287,2152.3647870065465,2190.7446773180145,2211.748994030526,2226.1440898691653,2213.252155767609,2204.577186271755,2194.7629786788784,2203.7108731641924,2213.774547110642,2240.7942768194603,2260.3184814650604,2252.925123332941,2220.172102498905,2194.0510336584343,2178.092538241619,2148.619517989855,2081.828363393205,2012.698446860108,1941.5881720365944,1883.589482392436,1851.9822083459003,1851.8424394508395,1901.7257346781976,1958.2372565328287,2058.08218394226,2159.07807699319,2252.7624938052472,2312.465276487113,2317.437201122926,2299.2230875261034,2267.622260018213,2249.759159312591,2250.8012873947164,2254.064991386352,2264.888702940716,2278.922717056795,2310.5380808917766,2362.773044378552,2413.9573102472864,2431.7560926025053,2410.749231275408,2374.471419766394,2331.5257682687875,2294.269387885949,2274.159144187641,2281.020414349773,2296.176847981444,2297.112765190531,2301.6059979552583,2324.0010734387665,2358.3761469016013,2384.2462668365924,2386.638878137615,2365.4617260988093,2327.390245619059,2319.7937077146257,2336.1577670184643,2363.2361566882246
12,98146,Burien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1637.6906025949347,1663.8506626912306,,1863.7632093114728,1853.9743806987697,1811.7186404275208,1778.7261204711417,1793.051917722526,1821.7978105066145,1800.2608020947257,1802.1631319257133,1748.6844455814455,1760.9678686465377,1797.4425149050996,1885.2505292154688,1952.6814905419849,1921.814875974696,1933.6175099806087,1930.1760922224207,1879.929540365801,1804.2708530234404,1751.0
